idiom,clustcoef,connected,diameter,avgpathlen
4_4 Marches,0.013358770083587938,True,4,1.9396604938271604
Jigs,0.0065316518968718965,False,NA,NA
Reels,0.015409617865265792,True,4,1.8957792207792208
