E_4,LA_4
LA_4,LA_8
LA_4,LA_8
LA_8,B_8
LA_8,B_8
B_8,C_4
B_8,C_4
C_4,B_8
C_4,B_8
B_8,LA_8
B_8,LA_8
B_8,LA_8
LA_8,B_8d
LA_8,B_8d
B_8d,C_16
B_8d,C_16
C_16,D_8
C_16,D_8
D_8,B_8
D_8,B_8
B_8,E_4
B_8,E_4
E_4,E_4
E_4,E_4
E_4,D_4
E_4,D_4
D_4,F_8d
D_4,F_8d
F_8d,G_16
F_8d,G_16
F_8d,G_16
F_8d,G_16
G_16,A_8
G_16,A_8
G_16,A_8
G_16,A_8
A_8,E_8
E_8,C_8
E_8,C_8
E_8,C_8
C_8,LA_8
LA_8,D_4
LA_8,D_4
D_4,C_8d
D_4,C_8d
D_4,C_8d
D_4,C_8d
C_8d,D_16
C_8d,D_16
C_8d,D_16
C_8d,D_16
D_16,B_2
D_16,B_2
B_2,LA_4
B_2,LA_4
A_8,LA_8
A_8,LA_8
LA_8,D_8
LA_8,D_8
D_8,C_8
D_8,C_8
D_8,C_8
D_8,C_8
C_8,B_4
C_8,B_4
B_4,B_4
B_4,B_4
B_4,LA_4
B_4,LA_4
LA_4,LA_4
LA_4,LA_4
LA_4,LA_4
LA_4,C_4
LA_4,C_4
C_4,D_8
C_4,D_8
C_8,D_4
C_8,D_4
D_16,E_8
D_16,E_8
C_8,A_4
C_8,A_4
A_4,A_4
A_4,A_4
A_4,F_8d
A_8,F_8
F_8,E_16
E_16,C_8d
C_8d,B_8
A_4,F_4
F_4,F_8d
